Prod,P,MO,CP
555699200,700,896,886
11568487,31,623,599
165035870,515,983,326
62783136,246,624,409
38486544,982,284,138
192821244,622,671,462
4234580,203,596,35
15330084,706,66,329
276626248,596,971,478
365914458,658,819,679
139946196,914,338,453
11366500,895,50,254
66167000,127,1000,521
9136440,738,20,619
149340750,689,255,850
90813148,466,701,278
163857888,853,348,552
219720956,787,767,364
12028368,44,627,436
42214260,132,835,383
59518020,989,204,295
67006978,662,797,127
7588728,717,84,126
312027651,569,981,559
56464960,251,592,380
41810640,380,636,173
220274000,482,500,914
1502676,28,89,603
237773304,502,531,892
195455000,970,310,650
237850536,714,737,452
41009138,529,467,166
64500000,258,400,625
5348700,849,75,84
35957376,288,364,343
543444608,976,652,854
106524560,691,410,376
9735040,371,80,328
390084984,422,972,951
56286054,387,242,601
190028125,425,875,511
29192000,50,820,712
42987420,140,939,327
10927328,758,272,53
165365550,270,665,921
87488424,267,888,369
90207348,419,308,699
49647714,398,967,129
233037500,412,905,625
665385148,916,991,733
289798320,876,340,973
18438208,514,944,38
160139080,710,998,226
49501144,203,748,326
204119850,383,570,935
242378136,572,531,798
29643840,80,423,876
251942400,576,450,972
247908843,351,707,999
209870364,814,582,443
37592100,108,585,595
266351272,661,964,418
2731364,332,433,19
148475712,847,704,249
67221000,291,385,600
92925220,346,502,535
35030400,150,712,328
23025051,109,441,479
2147712,952,47,48
295052544,729,527,768
14920815,643,255,91
72988416,128,711,802
67652928,544,441,282
425034000,1000,463,918
136480722,791,579,298
112976976,278,984,413
16666500,375,271,164
231019008,264,904,968
130644150,442,525,563
1481544,19,216,361
252890112,768,431,764
10635021,109,333,293
80633088,192,474,886
260168620,262,998,995
635700,163,13,300
656490,277,10,237
5136726,123,157,266
63118440,594,115,924
58518552,263,762,292
73170864,324,404,559
28567280,80,367,973
292677440,584,670,748
21424590,935,201,114
252778080,662,516,740
220211901,903,507,481
12825888,174,271,272
1801800,28,65,990
118868580,502,270,877
56606651,233,461,527
254575480,566,860,523
10799730,201,199,270
84208014,123,759,902
128038680,894,210,682
10993755,995,29,381
577581840,888,990,657
64112192,212,461,656
315456,106,12,248
420311400,510,890,926
25592160,110,444,524
4348466,113,271,142
36072602,437,149,554
213253568,428,836,596
26190840,326,390,206
166413891,807,331,623
232394400,945,530,464
1465422,37,42,943
322863960,514,722,870
8771328,96,216,423
1991220,77,431,60
44300844,459,126,766
535068000,720,835,890
57857800,187,325,952
7021520,202,158,220
436566360,820,534,997
164131968,616,624,427
53675532,684,97,809
22351140,162,630,219
21492000,796,120,225
435849141,507,889,967
168421680,940,324,553
65852820,421,158,990
35473887,661,89,603
39476000,695,800,71
150474528,856,771,228
4974900,100,309,161
131866615,587,895,251
114970320,202,765,744
2928420,87,99,340
11580240,565,427,48
10855350,459,55,430
218681100,275,796,999
212112264,812,442,591
253116576,757,432,774
84688032,597,208,682
111219240,218,773,660
2948240,548,20,269
96084000,471,408,500
76182960,840,137,662
75591936,144,602,872
174744843,767,571,399
1975424,11,736,244
115093440,288,519,770
256216836,613,571,732
8202870,779,27,390
55973610,63,985,902
38977740,87,855,524
362266800,808,610,735
30546300,475,699,92
276669242,379,953,766
12849564,147,164,533
95732900,428,575,389
32458656,174,524,356
70754520,394,365,492
30750258,659,154,303
196120008,906,252,859
109939310,415,886,299
121888572,204,767,779
243148110,971,491,510
19437528,71,488,561
115559730,495,949,246
43492546,373,674,173
617506950,755,822,995
2194444,433,724,7
46175850,525,107,822
6150144,416,48,308
15923136,956,694,24
11339562,633,338,53
110931968,848,256,511
71419160,395,233,776
75500128,682,592,187
80471808,659,954,128
106809318,606,539,327
61206120,340,274,657
2078688,354,367,16
34877976,518,181,372
8417304,293,36,798
110785248,504,358,614
334786270,871,595,646
19748448,72,342,802
194112560,356,685,796
614816244,829,981,756
1637610,195,13,646
39015966,363,881,122
97633536,254,528,728
102031800,515,381,520
150229842,777,349,554
185490648,301,648,951
2308284,348,737,9
45094400,832,100,542
168589200,856,975,202
161532126,441,491,746
16699200,224,213,350
35037303,723,161,301
8672064,186,188,248
571547900,770,995,746
583936236,963,676,897
3844260,339,27,420
153178194,349,663,662
2244030,571,30,131
52360000,70,748,1000
127779498,869,189,778
119717076,681,619,284
42888082,547,398,197
59596950,350,633,269
59793552,208,819,351
129948000,884,392,375
21152640,240,184,479
77080080,485,516,308
11193728,496,56,403
1458000,72,30,675
62884246,449,478,293
149886550,745,682,295
65957012,172,781,491
281856960,440,868,738
24529680,434,360,157
420980560,715,751,784
9765378,94,291,357
38998800,314,900,138
41192304,376,114,961
263951802,859,387,794
114666928,587,842,232
163673334,418,417,939
60368951,529,821,139
138006400,854,200,808
285665,589,97,5
9030840,130,827,84
264838500,687,500,771
39697450,778,157,325
133708032,768,393,443
88934400,240,384,965
206067540,490,646,651
118134016,922,143,896
799573536,948,933,904
127643040,392,335,972
109593440,440,292,853
84816600,660,710,181
45578576,856,158,337
141367200,230,985,624
6384000,35,192,950
1518480,16,135,703
297766560,840,401,884
13276620,410,63,514
43174475,113,775,493
480172572,946,978,519
1095930,41,810,33
491467680,760,828,781
53630280,319,934,180
28518360,543,808,65
123232590,470,351,747
274365696,691,564,704
50709441,89,739,771
417642120,954,530,826
437698592,799,608,901
595888909,977,979,623
90007330,610,197,749
408568155,881,719,645
67197720,502,460,291
39782400,64,888,700
21024198,149,234,603
60953680,920,157,422
43571385,111,793,495
10550694,557,902,21
612387175,877,775,901
463755616,926,554,904
304360173,639,531,897
54279632,529,176,583
118033552,392,962,313
11064312,757,696,21
11928735,135,971,91
133993505,353,445,853
152510592,312,548,892
53925888,524,268,384
160977780,732,243,905
281702022,651,818,529
5781006,231,97,258
135817760,184,835,884
43648605,663,231,285
340103139,799,597,713
173933056,979,694,256
10969988,94,118,989
77118540,164,705,667
15142050,110,483,285
114095520,126,924,980
28143570,915,338,91
37634874,634,421,141
4920256,16,964,319
25515480,372,722,95
165705540,217,979,780
17279424,786,24,916
8629200,30,408,705
537706624,938,832,689
111289338,547,534,381
70552680,904,363,215
13373640,122,522,210
293392528,374,794,988
239044848,732,763,428
56012,67,418,2
65134377,463,261,539
1515480,438,865,4
58782290,295,331,602
101900700,517,270,730
99115812,972,953,107
227380608,723,702,448
49575630,317,401,390
787648,16,794,62
24185880,762,69,460
326343696,527,679,912
181283960,773,572,410
245777238,707,434,801
424627893,549,829,933
606482976,968,654,958
4365900,539,324,25
132475640,605,271,808
59226120,580,549,186
45030600,540,155,538
102345984,204,832,603
252694951,829,667,457
6097,13,7,67
8852480,910,512,19
376320,40,14,672
265650990,473,965,582
161820197,557,847,343
149162312,754,722,274
366568416,531,816,846
14686224,401,56,654
261993984,708,896,413
12891120,514,30,836
491844186,929,603,878
40190150,365,242,455
69917679,279,521,481
67969044,489,324,429
58567520,311,880,214
823200,3,392,700
8753004,36,317,767
301411054,797,454,833
124201518,874,201,707
34278660,60,741,771
3966599,91,91,479
51541672,104,853,581
218296134,567,657,586
173264490,303,778,735
96035100,188,525,973
76911900,481,820,195
2228192,4,716,778
217456512,832,686,381
3407616,522,32,204
52382700,108,725,669
3274944,16,922,222
131635584,288,929,492
70769160,161,540,814
102921152,643,656,244
328152,8,363,113
307665,9,159,215
64641024,501,256,504
133961856,532,258,976
128844054,498,267,969
173801870,979,410,433
21277465,869,59,415
5627700,185,845,36
21390864,508,348,121
85612800,147,910,640
145871550,517,855,330
471995380,955,628,787
116277216,447,352,739
34577928,242,567,252
59351040,920,672,96
10400880,112,755,123
124529625,825,347,435
52821384,404,283,462
253678080,928,402,680
368753472,864,543,786
162058266,739,558,393
95958072,461,392,531
2820132,589,798,6
156643695,221,829,855
1588344,51,916,34
503094540,741,818,830
95330781,287,501,663
89330430,210,469,907
318240,3,208,510
38462004,277,522,266
39137280,672,104,560
460073400,685,870,772
136660216,773,902,196
3778929,77,399,123
22129464,839,628,42
28396716,114,463,538
9513032,862,356,31
99692976,716,492,283
4446288,401,88,126
212746816,856,376,661
23401125,183,341,375
133438032,599,884,252
274981077,529,777,669
137876046,278,627,791
31495464,207,836,182
1323504,39,336,101
180835590,767,813,290
57479160,796,830,87
137440360,818,620,271
73853168,752,109,901
283985064,881,792,407
72173640,154,730,642
50647968,168,518,582
37233174,814,193,237
34138080,453,314,240
2942030,61,371,130
4265120,92,152,305
337331748,818,622,663
27616160,355,208,374
161863080,615,394,668
303297,313,323,3
10703376,478,36,622
11900168,164,994,73
126385656,786,244,659
12415971,277,201,223
238346024,376,661,959
24461105,295,293,283
1078392,131,21,392
479493,21,387,59
334022014,706,703,673
113457816,788,171,842
20025408,452,568,78
38778615,153,915,277
2980800,138,80,270
2450448,528,21,221
17119836,513,618,54
14858646,561,34,779
55101744,254,276,786
110634102,599,186,993
69947072,446,169,928
246590656,622,416,953
36656928,406,209,432
460999728,504,971,942
249937596,621,842,478
537259415,989,581,935
175116200,428,835,490
127304352,776,217,756
173378040,446,589,660
230275080,959,360,667
467969562,606,773,999
109906020,733,612,245
3232425,235,105,131
344672240,932,410,902
86559200,410,406,520
70408534,721,314,311
162604752,316,548,939
472283196,781,939,644
15155855,143,205,517
24712100,175,821,172
73809750,350,255,827
202345101,639,887,357
38222280,360,141,753
147596820,823,196,915
148841280,315,552,856
372813440,817,713,640
3808840,10,854,446
214010152,617,764,454
25678485,63,937,435
34486368,292,133,888
4585440,123,233,160
249361722,851,657,446
38824500,375,362,286
451770,185,111,22
229925545,953,365,661
1366528,136,32,314
154862400,838,800,231
65279672,562,142,818
218376405,513,481,885
146924904,636,406,569
157129280,770,224,911
54642721,263,443,469
24725498,133,343,542
391318137,909,691,623
10582902,339,946,33
252279440,926,278,980
84376134,859,642,153
8020320,480,217,77
4132800,28,900,164
48723616,197,944,262
546444,172,9,353
1052584,104,349,29
103262040,471,580,378
277095,87,35,91
238521465,637,477,785
8967000,875,366,28
12837720,217,145,408
630000,5,200,630
96832890,785,198,623
62420328,534,306,382
17497984,472,56,662
62453256,278,386,582
2838125,475,239,25
18790434,377,351,142
854284,578,739,2
12536896,124,142,712
866304,192,8,564
457916976,648,774,913
2430896,8,403,754
41443875,425,591,165
70239600,545,179,720
74752080,388,380,507
376204356,493,902,846
176998661,787,623,361
217719840,780,296,943
72463932,652,159,699
179657236,836,311,691
68544784,644,902,118
24498432,84,496,588
4697368,94,52,961
272628153,653,423,987
70747960,482,716,205
293501390,805,379,962
22141725,395,185,303
154609152,527,764,384
105734754,753,174,807
81464712,727,161,696
55650735,123,695,651
122630976,234,848,618
85304088,387,236,934
1278400,470,544,5
6396075,105,655,93
3392851,77,139,317
5396976,248,93,234
17724336,749,232,102
403805568,776,586,888
12060174,323,381,98
58214260,127,820,559
182844480,338,980,552
290348583,777,433,863
920368,943,1,976
155271942,818,207,917
2019143,623,7,463
31350984,159,503,392
125354064,904,191,726
139074980,569,605,404
53474256,484,324,341
30444141,179,267,637
194112,8,337,72
560880,123,40,114
138136248,622,597,372
9987825,163,645,95
145188459,949,267,573
491489910,855,643,894
204002589,719,413,687
147612672,288,843,608
17157360,201,440,194
46381230,315,887,166
